11.12.2018 14:28:18: 	null , null , null , RPM Bath Sensor: 2209
11.12.2018 14:28:18: 	null , Humidity: 79 , null , RPM Bath Sensor: 2209
11.12.2018 14:28:19: 	null , Humidity: 75 , null , RPM Bath Sensor: 2209
11.12.2018 14:28:19: 	null , Humidity: 75 , null , RPM Bath Sensor: 3452
11.12.2018 14:28:20: 	null , Humidity: 51 , null , RPM Bath Sensor: 3452
11.12.2018 14:28:20: 	null , Humidity: 51 , null , RPM Bath Sensor: 440
11.12.2018 14:28:21: 	null , Humidity: 51 , null , RPM Bath Sensor: 1452
11.12.2018 14:28:21: 	null , Humidity: 70 , null , RPM Bath Sensor: 1452
11.12.2018 14:28:22: 	null , Humidity: 38 , null , RPM Bath Sensor: 1452
11.12.2018 14:28:22: 	null , Humidity: 38 , null , RPM Bath Sensor: 1134
11.12.2018 14:28:23: 	null , Humidity: 20 , null , RPM Bath Sensor: 1134
11.12.2018 14:28:23: 	null , Humidity: 20 , null , RPM Bath Sensor: 3902
11.12.2018 14:28:24: 	null , Humidity: 20 , null , RPM Bath Sensor: 1844
11.12.2018 14:28:24: 	null , Humidity: 54 , null , RPM Bath Sensor: 1844
11.12.2018 14:28:25: 	null , Humidity: 54 , null , RPM Bath Sensor: 3954
11.12.2018 14:28:25: 	null , Humidity: 20 , null , RPM Bath Sensor: 3954
11.12.2018 14:28:26: 	null , Humidity: 20 , null , RPM Bath Sensor: 3954
11.12.2018 14:28:26: 	null , Humidity: 20 , null , RPM Bath Sensor: 3518
11.12.2018 14:28:27: 	null , Humidity: 49 , null , RPM Bath Sensor: 3518
11.12.2018 14:28:27: 	null , Humidity: 49 , null , RPM Bath Sensor: 3629
11.12.2018 14:28:28: 	null , Humidity: 49 , null , RPM Bath Sensor: 858
11.12.2018 14:28:28: 	null , Humidity: 61 , null , RPM Bath Sensor: 858
11.12.2018 14:28:29: 	null , Humidity: 61 , null , RPM Bath Sensor: 2981
11.12.2018 14:28:29: 	null , Humidity: 52 , null , RPM Bath Sensor: 2981
11.12.2018 14:28:30: 	null , Humidity: 52 , null , RPM Bath Sensor: 1064
11.12.2018 14:28:30: 	null , Humidity: 25 , null , RPM Bath Sensor: 1064
11.12.2018 14:28:31: 	null , Humidity: 25 , null , RPM Bath Sensor: 3618
11.12.2018 14:28:31: 	null , Humidity: 24 , null , RPM Bath Sensor: 3618
11.12.2018 14:28:32: 	null , Humidity: 24 , null , RPM Bath Sensor: 3004
11.12.2018 14:28:32: 	null , Humidity: 51 , null , RPM Bath Sensor: 3004
11.12.2018 14:28:33: 	null , Humidity: 51 , null , RPM Bath Sensor: 3798
11.12.2018 14:28:33: 	null , Humidity: 69 , null , RPM Bath Sensor: 3798
11.12.2018 14:28:34: 	null , Humidity: 69 , null , RPM Bath Sensor: 570
11.12.2018 14:28:34: 	null , Humidity: 21 , null , RPM Bath Sensor: 570
11.12.2018 14:28:35: 	null , Humidity: 21 , null , RPM Bath Sensor: 3540
11.12.2018 14:28:35: 	null , Humidity: 63 , null , RPM Bath Sensor: 3540
11.12.2018 14:28:36: 	null , Humidity: 63 , null , RPM Bath Sensor: 2526
